,output_area,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Gigabit availability (% premises),% of premises below the USO,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,fast_bin_pct_prems,gig_bin_prems,gig_qbin_prems,uk_country,oa21cd,rgn22cd,rgn22nm,rgn22nmw,OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,11_or_under
0,E00041363,110,110,100.0,98.2,91.8,0.0,0.0,0.0,0.0,87.3,0.0,0.0,110,108,101,0,0,0,0,96,0,0,8.2,91.8,0.0,0.0,0.0,0.0,9,101,0,0,0,0,"(80.0, 100.0]","(37.0, 102.0]",Second quartile,England,E00041363,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041363,E01008163,178,2,1,3,0,1,1,0,1,0,0,1,0,1,0,0,0,1,4,1,2,1,0,1,1,4,5,5,4,2,3,1,2,4,2,4,1,1,1,2,2,3,2,1,1,0,2,2,1,2,2,0,2,4,4,1,0,2,2,2,3,8,2,1,1,2,5,2,4,1,5,7,3,2,3,3,0,1,7,3,4,4,3,1,2,1,0,0,0,0,0,2,10
1,E00041364,143,143,100.0,99.3,99.3,0.0,0.0,0.0,0.0,99.3,0.0,0.0,143,142,142,0,0,0,0,142,0,0,0.7,99.3,0.0,0.0,0.0,0.0,1,142,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041364,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041364,E01008163,518,10,15,8,7,14,9,14,10,9,10,11,11,9,5,12,10,17,21,23,18,10,10,9,5,9,2,8,9,9,8,6,7,6,8,6,9,5,6,3,4,6,4,1,4,3,8,7,7,11,2,1,6,4,3,4,1,6,2,3,4,2,5,6,5,4,1,3,4,2,0,2,3,0,1,2,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,2,128
2,E00041366,134,134,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,134,134,134,0,0,0,0,134,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0,134,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041366,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041366,E01008164,247,3,6,1,3,0,2,1,1,3,1,0,1,3,1,3,1,0,0,0,0,1,4,3,6,11,8,6,12,3,11,10,9,8,9,3,5,4,7,5,6,2,7,2,2,4,4,5,4,4,1,2,0,2,1,4,3,3,1,2,3,0,4,2,1,3,2,1,3,1,2,1,2,1,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22
3,E00041367,117,117,100.0,99.1,96.6,0.0,0.0,0.0,0.0,96.6,0.0,0.0,117,116,113,0,0,0,0,113,0,0,3.4,96.6,0.0,0.0,0.0,0.0,4,113,0,0,0,0,"(80.0, 100.0]","(102.0, 129.0]",Third quartile,England,E00041367,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041367,E01008165,202,2,0,2,2,1,4,3,2,1,3,2,2,1,1,2,1,0,0,1,2,2,2,2,1,2,1,0,5,1,3,1,4,2,4,4,2,2,8,2,6,3,3,1,4,3,1,2,2,1,3,6,2,3,0,2,0,6,7,2,3,3,3,5,4,0,3,4,1,6,5,1,2,5,1,1,3,1,2,2,4,0,0,1,2,2,0,0,0,0,0,1,24
4,E00041368,136,136,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,136,136,136,0,0,0,0,136,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0,136,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041368,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041368,E01008165,278,5,2,5,3,2,4,3,5,0,5,5,3,1,2,2,1,6,3,4,7,2,6,5,0,6,0,1,3,7,4,5,4,4,5,4,4,9,1,2,2,6,5,4,3,3,2,1,3,5,5,1,5,6,1,1,3,2,7,8,5,3,2,2,5,5,1,4,4,8,3,3,1,1,5,1,2,0,1,1,1,1,0,1,0,2,1,0,0,0,0,2,42
5,E00041369,145,145,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,145,145,145,0,0,0,0,145,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0,145,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041369,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041369,E01008165,359,5,2,5,4,7,4,7,10,5,10,6,6,1,4,3,4,1,7,5,4,0,6,6,6,10,5,8,1,6,5,7,10,6,3,5,6,4,5,4,5,6,2,5,6,2,4,5,4,2,4,5,4,5,8,7,2,7,3,2,3,7,5,4,3,2,6,5,4,1,4,3,1,6,1,1,2,1,0,0,3,2,1,0,1,0,0,0,0,0,1,1,71
6,E00041371,140,139,99.3,96.4,95.7,0.0,0.0,0.0,0.0,95.7,0.0,0.0,139,135,134,0,0,0,0,134,0,0,3.6,95.7,0.0,0.0,0.0,0.0,5,134,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041371,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041371,E01008163,365,1,3,4,3,7,2,2,3,4,2,8,4,5,1,5,4,4,5,6,7,3,2,5,1,4,4,4,3,2,3,3,4,5,7,3,2,3,6,6,7,2,3,5,4,5,3,2,5,6,5,2,4,2,6,9,7,5,6,1,3,9,6,1,2,5,3,2,4,1,5,3,3,6,3,7,4,5,2,1,4,4,4,1,3,2,5,3,6,2,2,15,43
7,E00041372,95,95,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,95,95,95,0,0,0,0,95,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0,95,0,0,0,0,"(80.0, 100.0]","(37.0, 102.0]",Second quartile,England,E00041372,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041372,E01008165,263,6,7,5,3,5,7,2,11,8,9,5,5,4,5,3,5,10,4,3,3,6,3,1,3,4,4,2,9,3,5,1,3,3,5,3,1,5,4,2,6,10,6,2,0,1,2,0,3,1,1,1,5,2,1,2,0,3,3,2,4,1,2,2,2,2,2,0,2,2,3,0,3,2,0,1,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,1,73
8,E00041377,160,160,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,160,160,160,0,0,0,0,160,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0,160,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041377,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041377,E01008166,186,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,2,0,4,1,1,2,1,1,0,0,0,3,2,1,2,0,1,2,0,1,0,1,1,2,1,5,4,9,7,3,5,3,8,5,0,8,4,7,2,6,1,4,3,3,1,5,2,3,6,4,4,5,3,2,2,1,1,3,7,0,4,2,1,0,0,1,1,2,2
9,E00041378,133,133,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,133,133,133,0,0,0,0,133,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0,133,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041378,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041378,E01008162,301,1,2,3,1,1,0,4,2,4,1,0,1,1,1,3,1,1,3,1,0,2,3,7,4,9,10,18,4,14,6,8,5,4,5,2,4,2,3,5,3,2,1,3,2,5,3,6,3,4,3,4,5,10,10,1,5,3,5,6,6,7,5,2,5,1,4,3,2,1,1,4,6,3,2,3,1,1,1,2,0,2,1,3,2,2,0,1,0,0,0,0,20
